State,Num_of_Taps,Yield_per_Tap,Production,Avg_Price,Value,Retail_Price,Wholesale_Price,Bulk_P_Price,Bulk_G_Price,Date_Open,Date_Closed,Year
Maine,1960,0.262,514,38.60,19840,61.40,48.30,3.20,35.10,2/15/2021,4/30/2021,2021
Michigan,550,0.273,150,46.30,6945,47.70,37.60,2.40,26.80,2/1/2021,4/14/2021,2021
New Hampshire,530,0.24,127,64.90,8242,65.50,48.20,2.40,26.40,1/11/2021,4/16/2021,2021
New York,2900,0.223,647,37.80,24457,45.60,41.50,2.40,26.70,1/1/2021,5/4/2021,2021
Pennsylvania,745,0.226,168,36.20,6082,41.30,39.80,2.50,27.60,1/4/2021,4/15/2021,2021
Vermont,6500,0.269,1750,32.00,56000,46.30,37.90,2.60,28.30,1/25/2021,4/23/2021,2021
Wisconsin,900,0.406,365,33.10,12082,45.20,40.70,2.50,27.40,2/20/2021,4/10/2021,2021
Maine,1970,0.299,590,34.90,20591,53.00,61.40,2.26,24.90,2/2/2020,5/5/2020,2020
Michigan,570,0.298,170,48.60,8262,48.50,47.70,2.00,21.70,2/2/2020,4/25/2020,2020
New Hampshire,530,0.291,154,52.10,8023,58.00,65.50,2.05,22.60,1/5/2020,4/28/2020,2020
New York,2800,0.287,804,34.40,27658,48.10,45.60,2.10,23.50,1/2/2020,4/30/2020,2020
Pennsylvania,740,0.241,178,38.40,6835,43.60,41.30,2.21,24.40,1/12/2020,4/10/2020,2020
Vermont,5700,0.342,1950,27.00,52650,45.50,46.30,2.15,23.80,1/8/2020,4/30/2020,2020
Wisconsin,780,0.340,265,29.10,7712,41.30,45.20,2.10,23.20,2/15/2020,4/26/2020,2020
Maine,1950,0.267,520,28.20,14664,50.40,47.50,2.36,26.00,1/15/2019,5/10/2019,2019
Michigan,620,0.315,195,48.60,9477,48.40,37.90,2.40,26.70,2/10/2019,4/26/2019,2019
New Hampshire,540,0.274,148,45.30,6704,52.00,42.90,2.05,22.80,1/21/2019,4/28/2019,2019
New York,2800,0.293,820,32.20,26404,47.30,42.40,2.20,23.70,1/5/2019,5/1/2019,2019
Pennsylvania,680,0.231,157,35.00,5495,45.50,39.10,2.11,23.20,1/10/2019,5/1/2019,2019
Vermont,6000,0.345,2070,28.00,57960,44.50,39.90,2.20,24.20,1/9/2019,5/3/2019,2019
Wisconsin,800,0.338,270,32.50,8775,42.80,42.60,2.20,23.80,3/1/2019,4/30/2019,2019
Connecticut,73,0.247,18,76.00,1368,62.90,53.60,(D),(D),1/22/2018,4/30/2018,2018
Indiana,70,0.257,18,50.20,904,41.00,32.80,3.25,35.60,1/10/2018,4/14/2018,2018
Maine,1870,0.288,539,40.20,21668,53.40,43.60,2.16,23.80,2/1/2018,5/3/2018,2018
Massachusetts,320,0.225,72,53.00,3816,53.80,45.20,2.60,28.70,2/2/2018,4/21/2018,2018
Michigan,600,0.275,165,38.90,6419,46.70,43.60,2.30,25.50,1/23/2018,5/1/2018,2018
Minnesota,65,0.200,13,61.60,801,50.30,45.00,3.50,38.40,3/1/2018,5/1/2018,2018
New Hampshire,560,0.291,163,56.10,9144,57.00,47.30,2.15,23.50,1/28/2018,5/2/2018,2018
New York,2730,0.295,806,32.40,26114,42.60,37.40,2.10,23.20,1/12/2018,5/2/2018,2018
Ohio,400,0.225,90,45.40,4086,45.60,40.20,2.40,26.55,1/18/2018,4/26/2018,2018
Pennsylvania,670,0.212,142,39.00,5538,47.20,29.80,2.16,23.80,1/7/2018,4/28/2018,2018
Vermont,5670,0.342,1940,28.00,54320,45.30,38.80,2.20,24.20,1/12/2018,5/3/2018,2018
West Virginia,66,0.121,8,44.60,357,53.90,(D),2.90,32.20,1/19/2018,4/10/2018,2018
Wisconsin,750,0.300,225,32.40,7290,43.20,43.80,2.10,23.20,2/18/2018,5/2/2018,2018
Connecticut,78,0.231,18,62.2,"1,120",51.6,(D),(D),(D),1/20/2017,4/25/2017,2017
Indiana,70,0.200,14,50.2,703,40.7,42.7,3,32.9,1/1/2017,4/2/2017,2017
Maine,1900,0.376,715,33.7,"24,096",54.1,48.4,2.26,24.9,1/16/2017,5/26/2017,2017
Massachusetts,320,0.263,84,50.2,"4,217",48.9,44.2,2.4,26.6,1/10/2017,4/13/2017,2017
Michigan,600,0.250,150,51.2,"7,680",47,43,2.55,28.2,1/26/2017,4/20/2017,2017
Minnesota,83,0.205,17,66.6,"1,132",58.6,46.9,2.5,27.5,2/12/2017,4/28/2017,2017
New Hampshire,570,0.281,160,43.5,"6,960",53.3,44.9,2.05,22.7,1/7/2017,4/22/2017,2017
New York,2650,0.287,760,39,"29,640",46.9,46,2.1,22.9,1/1/2017,5/4/2017,2017
Ohio,420,0.200,84,38.5,"3,234",40.6,39.5,2.2,24.4,1/1/2017,4/6/2017,2017
Pennsylvania,780,0.212,165,34.3,"5,660",41.4,29.7,2.19,24.1,1/2/2017,4/17/2017,2017
Vermont,5900,0.339,"2,000",27,"54,000",44.8,40.1,2.2,24.2,1/1/2017,5/14/2017,2017
West Virginia,70,0.157,11,36.7,404,44.4,50,2.7,29.7,1/5/2017,4/10/2017,2017
Wisconsin,760,0.272,207,31.4,"6,500",44.8,39.4,2.1,23.3,2/6/2017,4/30/2017,2017
Connecticut,85,0.224,19,69.5,"1,321",60.3,56.6,(D),(D),1/15/2016,4/25/2016,2016
Indiana,60,0.2,12,50,600,40,42.3,(D),(D),1/19/2016,3/28/2016,2016
Maine,1860,0.363,675,30,"20,250",52.2,48.5,2.46,27,1/9/2016,5/13/2016,2016
Massachusetts,315,0.244,77,55.8,"4,297",53.6,44.2,2.7,30.1,1/13/2016,4/20/2016,2016
Michigan,400,0.225,90,44.8,"4,032",44.7,43.6,2.4,26.4,2/1/2016,5/29/2016,2016
Minnesota,76,0.184,14,65.7,920,53.6,41.8,3.3,36.3,2/15/2016,4/24/2016,2016
New Hampshire,545,0.31,169,55.2,"9,329",53.7,45.1,2.4,26.5,1/27/2016,4/30/2016,2016
New York,2515,0.281,707,44.3,"31,320",47.4,46.8,2.2,23.9,1/7/2016,5/13/2016,2016
Ohio,370,0.189,70,39.8,"2,786",41.1,42.9,2.5,28,1/25/2016,4/5/2016,2016
Pennsylvania,660,0.217,143,31.4,"4,490",43.5,40.4,2.23,24.6,1/1/2016,4/9/2016,2016
Vermont,4850,0.41,"1,990",30,"59,700",47.4,40,2.3,25.4,1/1/2016,5/1/2016,2016
West Virginia,51,0.118,6,48.4,290,43.7,(D),2.8,30.3,1/1/2016,4/2/2016,2016
Wisconsin,765,0.307,235,33.5,"7,873",41,39.4,2.3,25.2,2/7/2016,4/22/2016,2016
Connecticut,85,0.224,19,87.2,"1,657",65,59.1,2.2,24.1,1/14/2015,2/1/2015,2015
Maine,1850,0.299,553,28,"15,484",55.5,39.2,2.4,26.4,1/14/2015,2/9/2015,2015
Massachusetts,310,0.242,75,50.5,"3,788",57.4,43.6,2.7,29.5,2/5/2015,3/14/2015,2015
Michigan,470,0.27,127,54.5,"6,922",47.3,37,2.7,29.3,2/19/2015,3/1/2015,2015
New Hampshire,560,0.275,154,59.4,"9,148",56.4,41.8,2.4,26.4,1/10/2015,3/18/2015,2015
New York,2310,0.26,601,42,"25,242",45.1,38.5,2.4,26.3,1/10/2015,1/12/2015,2015
Ohio,440,0.261,115,41.2,"4,738",40.9,37,2.4,26.4,1/13/2015,1/19/2015,2015
Pennsylvania,620,0.266,165,31.9,"5,264",41.6,40.2,2.24,24.7,2/5/2015,1/15/2015,2015
Vermont,4550,0.31,"1,410",33,"46,530",46.6,42,2.45,27,1/10/2015,1/1/2015,2015
Wisconsin,760,0.283,215,33.1,"7,117",45,36.4,2.3,25.2,3/8/2015,2/28/2015,2015
Connecticut,83,0.193,16,70.9,"1,134",63.5,49.4,2.65,29.4,1/2/2014,4/28/2014,2014
Maine,1850,0.295,545,31.5,"17,168",56.6,46.4,2.72,30,1/13/2014,4/30/2014,2014
Massachusetts,290,0.21,61,56.3,"3,434",53.4,43.6,2.95,32.3,1/8/2014,4/15/2014,2014
Michigan,430,0.244,105,49.5,"5,198",50,37.4,2.4,26.3,2/8/2014,4/29/2014,2014
New Hampshire,490,0.229,112,57.8,"6,474",53.1,42.4,2.55,28.3,1/30/2014,4/26/2014,2014
New York,2200,0.248,546,39.7,"21,676",45.3,41.5,2.54,28,1/1/2014,5/1/2014,2014
Ohio,450,0.289,130,42.8,"5,564",40.9,43,2.6,29,1/4/2014,4/18/2014,2014
Pennsylvania,588,0.248,146,35.1,"5,125",40.3,31.5,2.49,27.5,1/10/2014,5/8/2014,2014
Vermont,4350,0.31,"1,350",33,"44,550",47,39.3,2.59,28.5,1/8/2014,5/1/2014,2014
Wisconsin,700,0.286,200,33.4,"6,680",44.4,35.7,2.4,26.2,2/15/2014,5/28/2014,2014
Connecticut,78,0.256,20,71,"1,420",68,53.8,(D),(D),1/5/2013,3/30/2013,2013
Maine,1880,0.298,560,32,"17,920",55.1,(D),2.8,30.9,2/4/2013,5/7/2013,2013
Massachusetts,280,0.225,63,59.1,"3,723",54.3,40.1,2.6,28.4,1/29/2013,3/30/2013,2013
Michigan,490,0.302,148,48.8,"7,222",45,44,2.55,28.1,1/29/2013,4/2/2013,2013
New Hampshire,470,0.264,124,53.4,"6,622",52.4,46.1,2.5,27.2,2/2/2013,4/21/2013,2013
New York,2200,0.261,574,43.6,"25,026",45.3,40.4,2.6,28.6,1/10/2013,4/26/2013,2013
Ohio,440,0.352,155,36.9,"5,720",41.7,34,2.7,29.5,1/20/2013,3/30/2013,2013
Pennsylvania,583,0.23,134,35.6,"4,770",41.2,39.1,2.6,28.6,1/9/2013,4/20/2013,2013
Vermont,4200,0.352,"1,480",33.4,"49,432",45.3,38.5,2.75,30.3,1/18/2013,5/2/2013,2013
Wisconsin,740,0.358,265,37.4,"9,911",42.8,34.5,2.6,28.4,1/25/2013,4/25/2013,2013
Connecticut,70,0.157,11,63.4,697,62.9,56.9,2.7,29.7,2/2/2012,4/21/2012,2012
Maine,1500,0.24,360,33,"11,880",56.2,42.4,2.9,32,2/12/2012,5/6/2012,2012
Massachusetts,250,0.16,40,51.5,"2,060",51.9,40.8,2.69,29.7,1/31/2012,4/27/2012,2012
Michigan,430,0.151,65,51.6,"3,354",46,36.8,2.6,29.1,2/13/2012,4/28/2012,2012
New Hampshire,440,0.173,76,52.5,"3,990",53.2,37.9,2.55,28.1,2/14/2012,4/30/2012,2012
New York,2070,0.174,360,43.5,"15,660",43.7,43.8,2.71,29.8,1/10/2012,4/27/2012,2012
Ohio,410,0.244,100,42.5,"4,250",41.5,37.2,2.7,30.2,2/2/2012,4/11/2012,2012
Pennsylvania,501,0.192,96,39.4,"3,782",42.6,39.2,2.66,29.3,2/3/2012,4/28/2012,2012
Vermont,3500,0.214,750,35.5,"26,625",46.1,40.5,2.75,30.3,2/1/2012,4/30/2012,2012
Wisconsin,600,0.083,50,45.6,"2,280",44.6,36.2,2.7,29.5,2/2/2012,5/7/2012,2012
Connecticut,71,0.239,17,73,"1,241",57,(D),(D),(D),1/22/2011,4/13/2011,2011
Maine,1470,0.245,360,34,"12,240",53.1,42.7,2.9,32,2/7/2011,5/1/2011,2011
Massachusetts,245,0.253,62,57,"3,534",50.8,45.7,2.5,27.6,1/29/2011,4/21/2011,2011
