State,Num_of_Taps,Yield_per_Tap,Production,Avg_Price,Value,Retail_Price,Wholesale_Price,Bulk_P_Price,Bulk_G_Price,Date_Open,Date_Closed,Year
Michigan,495,0.248,123,43.8,"5,387",45.5,33.8,2.6,28.8,2/1/2011,4/30/2011,2011
New Hampshire,420,0.286,120,49,"5,880",51.3,38.7,2.65,29.2,1/17/2011,4/10/2011,2011
New York,2011,0.28,564,39.1,"22,052",44.7,37.5,2.64,29.1,1/20/2011,4/22/2011,2011
Ohio,405,0.309,125,40.3,"5,038",41.7,36,2.7,29.9,2/5/2011,4/4/2011,2011
Pennsylvania,503,0.254,128,40,"5,120",41,35.9,2.57,28.4,1/20/2011,4/30/2011,2011
Vermont,3300,0.345,"1,140",35,"39,900",44.7,39.4,2.75,30.3,1/14/2011,4/30/2011,2011
Wisconsin,660,0.235,155,36.3,"5,627",39,40.3,2.7,29.5,2/1/2011,4/16/2011,2011
Connecticut,75,0.12,9,70,630,62,59,(D),(D),2/1/2010,4/25/2010,2010
Maine,1470,0.214,315,33.5,"10,553",50.1,42.3,3,33.1,2/17/2010,4/30/2010,2010
Massachusetts,250,0.116,29,56.5,"1,639",53,44,2.55,28.1,1/28/2010,4/15/2010,2010
Michigan,490,0.167,82,45,"3,690",42,34.1,2.8,30.5,2/4/2010,4/19/2010,2010
New Hampshire,420,0.207,87,55.4,"4,820",49,45.7,2.65,29.2,2/12/2010,5/1/2010,2010
New York,1903,0.164,312,39.4,"12,293",42.8,40.7,2.71,29.9,1/28/2010,4/30/2010,2010
Ohio,385,0.169,65,42.7,"2,776",40.5,34.3,2.55,28.1,2/2/2010,4/22/2010,2010
Pennsylvania,465,0.116,54,42,"2,268",39.7,40.3,2.45,27,1/15/2010,4/28/2010,2010
Vermont,3150,0.283,890,34,"30,260",43.3,37,2.65,29.2,1/27/2010,4/30/2010,2010
Wisconsin,650,0.18,117,39.5,"4,622",38.1,37.3,2.6,28.7,2/23/2010,4/30/2010,2010
Connecticut,71,0.183,13,64,832,57,46.3,(D),(D),1/6/2009,4/28/2009,2009
Maine,1470,0.269,395,32.9,"12,996",52.5,40.5,2.85,31.4,2/4/2009,5/4/2009,2009
Massachusetts,230,0.2,46,53.6,"2,466",42.5,41.9,2.65,29.5,1/24/2009,4/19/2009,2009
Michigan,450,0.256,115,45,"5,175",42.7,35.4,2.8,30.5,3/3/2009,4/20/2009,2009
New Hampshire,385,0.244,94,53.5,"5,029",49.3,40.6,2.75,30.4,2/5/2009,4/26/2009,2009
New York,1830,0.24,439,40.6,"17,823",40.1,38.3,2.73,30,1/5/2009,4/30/2009,2009
Ohio,375,0.24,90,40.3,"3,627",37.7,35.9,2.7,29.9,1/9/2009,4/16/2009,2009
Pennsylvania,464,0.198,92,38.1,"3,505",38,32.2,2.7,29.5,1/15/2009,4/25/2009,2009
Vermont,3030,0.304,920,35.1,"32,292",43.9,38.5,2.9,32,1/22/2009,5/4/2009,2009
Wisconsin,670,0.299,200,36.7,"7,340",37.3,37.3,2.6,28.6,2/17/2009,5/10/2009,2009
Connecticut,75,0.253,19,62.3,"1,184",54.1,46.8,2.9,32,N/A,N/A,2008
Maine,1440,0.167,240,36.8,"8,832",45.2,38.4,3.3,36.4,N/A,N/A,2008
Massachusetts,250,0.26,65,46.5,"3,023",48,42.2,3.15,34.7,N/A,N/A,2008
Michigan,405,0.259,105,41,"4,305",36.3,30.7,3.1,34.1,N/A,N/A,2008
New Hampshire,395,0.241,95,53.8,"5,111",44.3,38.6,3.2,35.3,N/A,N/A,2008
New York,1445,0.227,328,42.4,"13,907",38.1,35.9,3.15,34.7,N/A,N/A,2008
Ohio,350,0.286,100,37.9,"3,790",33.6,32.5,2.8,30.9,N/A,N/A,2008
Pennsylvania,475,0.211,100,38.3,"3,830",37.3,34.6,2.45,27,N/A,N/A,2008
Vermont,2870,0.247,710,39.5,"28,045",40.6,38.1,3.05,33.6,N/A,N/A,2008
Wisconsin,620,0.242,150,39.1,"5,865",37.7,35.5,2.75,30.3,N/A,N/A,2008
Connecticut,73,0.151,11,53.9,593,40.8,40.6,1.95,21.5,N/A,N/A,2007
Maine,1485,0.168,250,30.1,"7,525",38.3,32.8,2.65,29.2,N/A,N/A,2007
Massachusetts,250,0.16,40,46.1,"1,844",39.5,34.6,1.95,21.5,N/A,N/A,2007
Michigan,390,0.167,65,41.6,"2,704",34.3,29.5,2.3,25.5,N/A,N/A,2007
New Hampshire,400,0.175,70,46.8,"3,276",40.3,29.5,2.05,22.6,N/A,N/A,2007
New York,1440,0.158,228,33.5,"7,638",34.1,30.6,2.05,22.6,N/A,N/A,2007
Ohio,325,0.194,63,39,"2,457",33.6,33.5,2.05,22.7,N/A,N/A,2007
Pennsylvania,445,0.124,55,31.6,"1,738",32.2,21.3,1.95,21.6,N/A,N/A,2007
Vermont,2770,0.231,640,29.1,"18,624",35.4,29.4,2.05,22.6,N/A,N/A,2007
Wisconsin,600,0.158,95,35.7,"3,392",31.2,31.1,2.05,22.5,N/A,N/A,2007
Connecticut,61,0.164,10,58.2,582,44,35,1.85,20.4,N/A,N/A,2006
Maine,1315,0.228,300,24.3,"7,290",39.8,31.3,1.95,21.5,N/A,N/A,2006
Massachusetts,245,0.163,40,47.9,"1,916",38.1,28.4,1.8,19.8,N/A,N/A,2006
Michigan,375,0.208,78,37,"2,886",34.1,26.6,1.8,20,N/A,N/A,2006
New Hampshire,355,0.18,64,43.9,"2,810",37.7,29.7,1.85,20.4,N/A,N/A,2006
New York,1530,0.165,253,31.7,"8,020",32.9,27.7,1.8,19.9,N/A,N/A,2006
Ohio,360,0.217,78,34,"2,652",31.5,25.1,1.85,20.3,N/A,N/A,2006
Pennsylvania,449,0.147,66,32.5,"2,145",30.8,29,1.6,17.4,N/A,N/A,2006
Vermont,2170,0.212,460,30.2,"13,892",34.4,27.8,1.85,20.4,N/A,N/A,2006
Wisconsin,400,0.25,100,31.2,"3,120",31.6,32.5,1.8,19.8,N/A,N/A,2006
Connecticut,63,0.159,10,50,500,39.3,34.1,(D),(D),N/A,N/A,2005
Maine,1300,0.204,265,21.5,"5,698",35,30,1.9,20.7,N/A,N/A,2005
Massachusetts,240,0.167,40,51.2,"2,048",37.5,30.1,1.65,18.1,N/A,N/A,2005
Michigan,390,0.149,58,36,"2,088",34.2,29,1.8,19.3,N/A,N/A,2005
New Hampshire,365,0.156,57,41.3,"2,354",36.6,30,1.6,17.5,N/A,N/A,2005
New York,1420,0.156,222,31.7,"7,037",32.5,26.5,1.7,18.9,N/A,N/A,2005
Ohio,355,0.194,69,36,"2,484",31.2,26.2,2,21.6,N/A,N/A,2005
Pennsylvania,428,0.143,61,31.5,"1,922",29.3,27.5,1.6,17.9,N/A,N/A,2005
Vermont,2140,0.192,410,27.8,"11,398",32.3,27.6,1.7,18.7,N/A,N/A,2005
Wisconsin,400,0.125,50,32.4,"1,620",30.6,33,1.7,19.2,N/A,N/A,2005
Connecticut,63,0.159,10,51.7,569,39.1,33.3,1.1,12.1,N/A,N/A,2004
Maine,1300,0.204,265,19.4,"5,626",36.6,29,1.6,17.6,N/A,N/A,2004
Massachusetts,240,0.167,40,46.3,"2,315",34.8,29.2,1.5,16.5,N/A,N/A,2004
Michigan,390,0.149,58,38,"3,040",32.7,25.7,1.75,19.2,N/A,N/A,2004
New Hampshire,365,0.156,57,35.4,"2,938",34.3,27.7,1.4,15.4,N/A,N/A,2004
New York,1420,0.156,222,28.2,"7,191",32.2,25.6,1.4,15.3,N/A,N/A,2004
Ohio,355,0.194,69,32,"2,496",28.7,26.8,1.55,17.2,N/A,N/A,2004
Pennsylvania,428,0.143,61,29,"1,740",29.5,26,1.35,15,N/A,N/A,2004
Vermont,2140,0.192,410,27.3,"13,650",31.7,28.4,1.6,17.6,N/A,N/A,2004
Wisconsin,400,0.125,50,32.3,"3,230",28.6,26,1.5,16.5,N/A,N/A,2004
Connecticut,62,0.177,11,48.6,486,36.9,31.3,(D),(D),N/A,N/A,2003
Maine,1290,0.225,290,22.5,"6,413",35.7,28.5,1.6,17.6,N/A,N/A,2003
Massachusetts,235,0.213,50,41.9,"1,550",35,27.2,1.3,14.3,N/A,N/A,2003
Michigan,370,0.216,80,31.2,"1,841",33.1,27.5,1.9,20.9,N/A,N/A,2003
New Hampshire,360,0.231,83,43,"2,580",34.6,27.6,1.4,15.4,N/A,N/A,2003
New York,1345,0.19,255,26.8,"5,628",30.2,25.5,1.3,14.5,N/A,N/A,2003
Ohio,405,0.193,78,35.1,"1,790",29.4,24.1,1.6,17.8,N/A,N/A,2003
Pennsylvania,404,0.149,60,27.4,"1,425",28.8,27.2,1.05,11.6,N/A,N/A,2003
Vermont,2100,0.238,500,27.8,"11,676",31.7,27.8,1.6,17.6,N/A,N/A,2003
Wisconsin,385,0.26,100,29.1,"2,212",28.4,27.7,1.5,16.6,N/A,N/A,2003
Connecticut,62,0.161,10,47.2,472,37.5,30.3,(D),(D),N/A,N/A,2002
Maine,1295,0.22,285,19.4,"5,335",34,28.2,1.5,1.6,N/A,N/A,2002
Massachusetts,220,0.168,37,39.5,"1,896",35,25.8,1.5,1.3,N/A,N/A,2002
Michigan,360,0.164,59,32.5,"2,438",31,25,1.5,1.9,N/A,N/A,2002
New Hampshire,350,0.171,60,41.1,"3,411",33.3,28.3,1.4,1.4,N/A,N/A,2002
New York,1340,0.157,210,26.3,"6,838",29.7,26.9,1.3,1.3,N/A,N/A,2002
Ohio,387,0.132,51,32.3,"2,423",29.8,24.1,1.45,1.6,N/A,N/A,2002
Pennsylvania,383,0.136,52,26.7,"1,602",29.1,27,1.3,1.05,N/A,N/A,2002
Vermont,2030,0.207,420,27,"13,770",31.4,25,1.7,1.6,N/A,N/A,2002
Wisconsin,400,0.19,76,29.3,"2,315",27.8,26.4,1.4,1.5,N/A,N/A,2002
Connecticut,51,0.157,8,45.7,411,35.4,28.7,1.2,13.2,N/A,N/A,2001
Maine,1085,0.212,230,18.7,"3,740",32.1,26.7,1.45,16,N/A,N/A,2001
Massachusetts,215,0.209,45,40.6,"1,380",33.1,30.3,1.4,15.4,N/A,N/A,2001
Michigan,320,0.206,66,29.7,"1,782",33,25.6,1.8,19.6,N/A,N/A,2001
New Hampshire,345,0.217,75,40,"1,800",34.5,28.7,1.6,17.6,N/A,N/A,2001
New York,1414,0.184,260,29.5,"5,694",29.9,25.8,1.4,15.6,N/A,N/A,2001
Ohio,376,0.199,75,31.3,"3,005",29.3,24.7,1.55,17.2,N/A,N/A,2001
Pennsylvania,337,0.163,55,25.3,"1,746",28.3,26.7,1.4,15.1,N/A,N/A,2001
Vermont,2170,0.23,500,30.8,"8,470",32.4,28.8,1.9,20.9,N/A,N/A,2001
Wisconsin,440,0.18,79,29.2,"1,986",27.8,27.6,1.5,16,N/A,N/A,2001
Connecticut,51,0.176,9,43.9,307,36.7,(D),1.1,12.1,N/A,N/A,2000
Maine,1085,0.184,200,14.2,"3,550",31.6,24.5,1,11,N/A,N/A,2000
Massachusetts,200,0.17,34,37.8,"1,474",33.9,28.6,1.3,14.3,N/A,N/A,2000
Michigan,332,0.181,60,35.1,"1,544",32,29.5,1.8,19.6,N/A,N/A,2000
New Hampshire,335,0.134,45,38.1,"2,858",33.9,23.7,1.4,15.4,N/A,N/A,2000
New York,1163,0.166,193,29,"6,090",28.1,24.3,1.35,15,N/A,N/A,2000
Ohio,432,0.222,96,34.3,"1,166",28.8,27.2,1.45,15.8,N/A,N/A,2000
Pennsylvania,360,0.192,69,28.4,"1,335",29,27.1,1.3,14.4,N/A,N/A,2000
Vermont,2090,0.132,275,30,"13,800",31.6,26.4,1.6,17.6,N/A,N/A,2000
Wisconsin,436,0.156,68,27.7,"1,800",27.6,25.3,1.4,15.3,N/A,N/A,2000
